id,logFC,AveExpr,t,P.Value,adj.P.Val,B,TargetFullName,Target,EntrezGeneSymbol,Type
SOST.13101.60.3,1.1920666437473133,9.638650894042,10.877659412865045,1.3273448665381518e-13,1.7454584994976695e-10,20.398976475523156,Sclerostin,SOST,SOST,Protein
GDF15.4374.45.2,0.8737907642484315,6.868191933346531,8.630582960616593,9.937896765657485e-11,6.534167123419797e-8,14.261363543198526,Growth/differentiation factor 15,MIC-1,GDF15,Protein
SELL.4831.4.2,-0.5279063843626233,9.836411611962518,-8.139311767724369,4.580654606113164e-10,2.00785360234627e-7,12.826296426902038,L-Selectin,sL-Selectin,SELL,Protein
ADAMTS5.3168.8.2,0.4713368906838075,6.194153555965578,6.193625555418582,2.380505563829659e-7,7.825912041090004e-5,6.911531312605359,A disintegrin and metalloproteinase with thrombospondin motifs 5,ADAMTS-5,ADAMTS5,Protein
RET.3220.40.2,-0.6161659865493923,8.096716071310366,-6.121637806627189,3.0104028503544846e-7,7.917359496432295e-5,6.688751322891992,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,RET,Protein
EFEMP1.8480.29.3,0.3693872031473909,7.275245967524116,5.2768787245757105,4.6962714496617135e-6,0.001029266159384192,4.082562029226409,EGF-containing fibulin-like extracellular matrix protein 1,FBLN3,EFEMP1,Protein
PTN.3045.72.2,0.32312343521313636,7.395928734968536,4.995090139806697,1.1633452563436552e-5,0.0018457232691547964,3.223535265930783,Pleiotrophin,PTN,PTN,Protein
NTN4.3327.27.1,-0.4318097581816376,7.773364516910435,-4.975046330177212,1.240505264092735e-5,0.0018457232691547964,3.1627735193166053,Netrin-4,NET4,NTN4,Protein
CDON.4541.49.2,-0.4505459209934967,10.001360005198444,-4.969377200849384,1.263232655695298e-5,0.0018457232691547964,3.145597121219277,Cell adhesion molecule-related/down-regulated by oncogenes,CDON,CDON,Protein
KLK8.2834.54.1,-0.4367959129989782,10.326970107422039,-4.670594994630099,3.2698039886275805e-5,0.004087754706176801,2.246850035550679,Kallikrein-8,kallikrein 8,KLK8,Protein
